Model name,RMSE,MSE,R2
Linear Regression,596.1752278173487,369861.55088745675,-2.401535716976496
Support Vector Rrgression,583.2710784218875,356156.7625620717,-2.36625660648809
Random Fores,597.1757878046863,376171.01400415687,-2.360467704648807
Decision Tree,596.5036909444945,376629.75045123906,-2.3580862563259934
Bayesian Regression,712.5573516317767,602903.6044570702,-4.484204694458012
