Model name,RMSE,MSE,R2
Linear Regression,354.8665214117201,135330.80631129874,-0.001438946917534456
Support Vector Rrgression,583.3000235599628,356099.9767844358,-2.364402188196933
Random Fores,499.428696304724,275192.0050549847,-0.3643066174219179
Decision Tree,519.6333330822654,306978.3863093406,-0.4986744226952332
Bayesian Regression,515.1901260659374,298753.52987744706,-0.7698713219243982
