Model name;RMSE;MSE;R2
Linear Regression;599.3293997;373400.4523;-2.367204796
Support Vector Rrgression;583.2617511;356122.2701;-2.351638
Random Fores;600.5789787;385075.5111;-2.194760603
Decision Tree;610.4757721;413690.6005;-2.46113699
Bayesian Regression;760.7902365;694872.7525;-6.439811889
