Model name,RMSE,MSE,R2
Linear Regression,581.0867112740452,350645.6814273462,-2.2011663997924407
Support Vector Rrgression,583.7131809344056,356749.8592543241,-2.3633647701834426
Random Fores,600.0581091652685,388908.32683468336,-2.190011034597506
Decision Tree,599.1145594121527,387076.976631688,-2.1409595606599727
Bayesian Regression,984.5990642795795,1197119.1515719465,-11.696930195927196
