Model name,RMSE,MSE,R2
Linear Regression,351.78309312466035,125109.29740887233,-0.05022979530103242
Support Vector Rrgression,577.3072688631061,348429.2733963563,-2.249511993530129
Random Fores,501.14695806546985,273284.5960186607,-0.15637505618259123
Decision Tree,510.38329519035176,283095.56003286777,-0.2643601339171994
Bayesian Regression,767.9838255921645,725710.5559025976,-2.4008967718737586
