Model name,RMSE,MSE,R2
Linear Regression,652.3987662069238,443278.6374138654,-3.358507691933629
Support Vector Rrgression,581.4745333187094,354129.6020980885,-2.3718312182630368
Random Fores,646.8283092619915,442366.963507545,-3.722109073069774
Decision Tree,626.1717353074777,414183.6976388623,-3.2917477615136406
Bayesian Regression,703.3706667444455,571388.6691543651,-4.938407404703358
