Model name,RMSE,MSE,R2
Linear Regression,669211.8544302674,2236301898208.318,-24324372.096607182
Support Vector Rrgression,583.0660427970881,355837.4266375955,-2.361874228535504
Random Fores,499.1579889321869,274708.1470482161,-0.3923181619800508
Decision Tree,520.5218794864256,308222.9044090794,-0.4793945735064292
Bayesian Regression,557.5427585846913,337597.9733622625,-1.3552907964447931
