Model name,RMSE,MSE,R2
Linear Regression,624.7638410036549,406824.20153776894,-3.054217929145456
Support Vector Rrgression,583.6946253735673,356894.7881395596,-2.408945692020574
Random Fores,647.3212753353303,442036.95882004016,-3.759311677654049
Decision Tree,638.3082736255226,434685.7482145488,-3.705354924822853
Bayesian Regression,2099.3883613886574,5720333.538074548,-52.13899676958762
