Model name,RMSE,MSE,R2
Linear Regression,555.3449826449344,321180.18811609014,-1.8861627016728282
Support Vector Rrgression,584.4307876276606,357541.1821126009,-2.3748958788401735
Random Fores,574.0319066860171,342060.58082889864,-2.0237953479654616
Decision Tree,564.4088922944627,333773.2144758525,-1.9242979823213235
Bayesian Regression,1278.255032626713,2069849.377124407,-16.974268824041626
