Model name,RMSE,MSE,R2
Linear Regression,587.3465475569258,364984.31864413474,-2.4794852792165525
Support Vector Rrgression,585.0493991536559,358659.69643879094,-2.419903011491912
Random Fores,688.6388702239499,494307.26381857134,-3.879608456091455
Decision Tree,699.2076708683473,514473.5933093195,-3.9922337353841177
Bayesian Regression,1912.6419160801925,4720245.892047635,-38.668731469431634
